Form & File,FilingDate_parsed,FilingYear,FilingMonth,Filing entity/person,vader_compound,LM_Net_Sentiment_Count,Stock_Return,VADER_Sentiment_Category,Dominant_Topic_ID,Dominant_Topic_Probability
10-K (Annual report),2016-10-26,2016,2016-10,APPLE INC (AAPL),0.08620220588235294,-24,-1.773509385695463,Positive,2,0.9995064735412598
10-Q (Quarterly report),2017-02-01,2017,2017-02,APPLE INC (AAPL),0.1070954751131222,4,1.196102721268055,Positive,2,0.9995790719985962
10-Q (Quarterly report),2017-05-03,2017,2017-05,APPLE INC (AAPL),0.1036617224880383,-2,4.045945881801885,Positive,2,0.9996377825737
10-Q (Quarterly report),2017-08-02,2017,2017-08,APPLE INC (AAPL),0.09623657407407409,-6,1.062710709972096,Positive,2,0.7688365578651428
10-K (Annual report),2017-11-03,2017,2017-11,APPLE INC (AAPL),0.06405833333333333,-27,2.168112737886005,Positive,2,0.9995511174201965
10-Q (Quarterly report),2018-02-02,2018,2018-02,APPLE INC (AAPL),0.100671875,4,-0.5981567816415467,Positive,2,0.999586820602417
10-Q (Quarterly report),2018-05-02,2018,2018-05,APPLE INC (AAPL),0.1125471111111111,17,4.864892053802512,Positive,2,0.999640703201294
10-Q (Quarterly report),2018-08-01,2018,2018-08,APPLE INC (AAPL),0.1175809523809524,17,3.756842953295454,Positive,2,0.7490638494491577
10-K (Annual report),2018-11-05,2018,2018-11,APPLE INC (AAPL),0.1082068345323741,0,1.782531137392708,Positive,2,0.9051142930984497
10-Q (Quarterly report),2019-01-30,2019,2019-01,APPLE INC (AAPL),0.07078697478991597,-15,3.630856517504065,Positive,0,0.5505226254463196
10-Q (Quarterly report),2019-05-01,2019,2019-05,APPLE INC (AAPL),0.04936884615384615,-20,-0.9690302220892998,Neutral,0,0.6778274178504944
10-Q (Quarterly report),2019-07-31,2019,2019-07,APPLE INC (AAPL),0.05179186046511627,-25,-9.247099142929102,Positive,0,0.980678379535675
10-K (Annual report),2019-10-31,2019,2019-10,Apple Inc. (AAPL),0.05881093749999999,-30,3.364688882074542,Positive,0,0.9994356036186218
10-Q (Quarterly report),2020-01-29,2020,2020-01,Apple Inc. (AAPL),0.06517980769230769,-13,-4.834468795155987,Positive,0,0.9988571405410767
10-Q (Quarterly report),2020-05-01,2020,2020-05,Apple Inc. (AAPL),0.05353048780487805,-28,3.999014435682661,Positive,3,0.9451670050621033
10-Q (Quarterly report),2020-07-31,2020,2020-07,Apple Inc. (AAPL),0.07228705882352941,-28,3.57849967489562,Positive,3,0.5231707692146301
10-K (Annual report),2020-10-30,2020,2020-10,Apple Inc. (AAPL),0.07690555555555555,-50,5.59434095081122,Positive,0,0.8088793158531189
10-Q (Quarterly report),2021-01-28,2021,2021-01,Apple Inc. (AAPL),0.09977631578947366,-1,-1.531819698995716,Positive,3,0.6956990957260132
10-Q (Quarterly report),2021-04-29,2021,2021-04,Apple Inc. (AAPL),0.1046692660550459,1,-4.217856136674201,Positive,3,0.9994394779205322
10-Q (Quarterly report),2021-07-28,2021,2021-07,Apple Inc. (AAPL),0.1265552173913043,8,0.3724488219335663,Positive,3,0.7909360527992249
10-K (Annual report),2021-10-29,2021,2021-10,Apple Inc. (AAPL),0.1230547945205479,-1,1.128180199182676,Positive,3,0.5860839486122131
10-Q (Quarterly report),2022-01-28,2022,2022-01,Apple Inc. (AAPL),0.07995084745762712,-8,3.234917359657434,Positive,3,0.9984265565872192
10-Q (Quarterly report),2022-04-29,2022,2022-04,Apple Inc. (AAPL),0.07706774193548387,-7,5.309210983629267,Positive,3,0.9991266131401062
10-Q (Quarterly report),2022-07-29,2022,2022-07,Apple Inc. (AAPL),0.03520316455696203,-21,2.227578373831112,Neutral,3,0.806505560874939
10-K (Annual report),2022-10-28,2022,2022-10,Apple Inc. (AAPL),0.05638311688311688,-20,-6.876853795399606,Positive,4,0.6366564035415649
10-Q (Quarterly report),2023-02-03,2023,2023-02,Apple Inc. (AAPL),-0.009235971223021581,-21,-1.669918206227832,Neutral,3,0.6662192940711975
10-Q (Quarterly report),2023-05-05,2023,2023-05,Apple Inc. (AAPL),-0.003380921052631582,-17,-0.005803800046982295,Neutral,3,0.5983209609985352
10-Q (Quarterly report),2023-08-04,2023,2023-08,Apple Inc. (AAPL),-0.0077294964028777,-14,-2.088005224463995,Neutral,4,0.6062713861465454
10-K (Annual report),2023-11-03,2023,2023-11,Apple Inc. (AAPL),0.005693421052631577,-15,3.532409832739595,Neutral,4,0.9984452128410339
10-Q (Quarterly report),2024-02-02,2024,2024-02,Apple Inc. (AAPL),0.0243900826446281,-7,1.915519233808866,Neutral,4,0.9970448613166809
10-Q (Quarterly report),2024-05-03,2024,2024-05,Apple Inc. (AAPL),-1.015625000000409e-05,-11,-0.3490105515246678,Neutral,4,0.6279516220092773
10-Q (Quarterly report),2024-08-02,2024,2024-08,Apple Inc. (AAPL),0.0293452380952381,-12,-4.566541034480255,Neutral,4,0.6773776412010193
10-K (Annual report),2024-11-01,2024,2024-11,Apple Inc. (AAPL),0.04699781021897809,-14,-0.08523511695070922,Neutral,4,0.9986404180526733
10-Q (Quarterly report),2025-01-31,2025,2025-01,Apple Inc. (AAPL),0.05784107142857144,-7,-1.495764345546973,Positive,4,0.9976533651351929
10-Q (Quarterly report),2025-05-02,2025,2025-05,Apple Inc. (AAPL),0.02475769230769231,-28,-4.431462983456855,Neutral,3,0.5316258668899536
10-Q (Quarterly report),2025-08-01,2025,2025-08,Apple Inc. (AAPL),0.1843538461538462,0,5.371078100693524,Positive,1,0.6793853640556335
