,ExcessRet,Negative,Positive,Uncertainty,Litigious,StrongModal,WeakModal,Constraining,BM_w,Size_w,dAsset_w,ROE_w,Momentum_12_1,Vol_30d,CCTI
ExcessRet,1.0,-0.0018422532817155461,-0.002044049298929279,-0.002678916577392923,-0.0022923184564406424,0.006737596308690294,-0.002020611737180633,-0.0034953019698744535,-0.002519059166327338,-0.007011546524208904,-0.0021627779231523855,0.0023187031283711,-7.551730673036473e-05,-6.604588250940267e-05,0.0022612507457976565
Negative,-0.0018422532817155461,1.0,0.47716128360404464,0.5947917992487457,0.28386007228020077,0.2521074872756909,0.6513946446435683,0.37733547055007677,0.006733030294748982,0.09247538778144196,-0.020052881285391903,-0.03020418083013274,-0.0026432995693935614,-0.0038962387727170173,-0.9138971224780685
Positive,-0.002044049298929279,0.47716128360404464,1.0,0.5589346056932004,0.028384740410305708,0.35138292749362915,0.6060830908372633,0.1578826199310638,0.007986893617874436,0.08210928217253989,-0.015267696176710826,-0.039909653596409495,-0.006099731596355147,-0.00380597330800868,-0.39697611033422786
Uncertainty,-0.002678916577392923,0.5947917992487457,0.5589346056932004,1.0,-0.08546807660542376,0.30490403737130184,0.8322213676601861,0.27290656631552607,0.014508249068084136,0.07995520859742977,-0.009880422190921273,-0.04346695336656279,-0.004127534633139265,-0.0038176667262382596,-0.828407823059785
Litigious,-0.0022923184564406424,0.28386007228020077,0.028384740410305708,-0.08546807660542376,1.0,0.14626814422772227,0.19930889488264547,0.4301494409954234,0.01431845299133069,0.1715766996405204,-0.008321217571704646,-0.008124095075584524,-0.003078654760971351,-0.0008365350472075964,-0.1470358919876943
StrongModal,0.006737596308690294,0.2521074872756909,0.35138292749362915,0.30490403737130184,0.14626814422772227,1.0,0.45723957464020965,0.18194771262147585,0.0004504841049102306,-0.20162193125554567,0.08943916032264772,-0.02194741452421013,0.0062372666614500145,0.0027079436610013526,-0.2582830660997778
WeakModal,-0.002020611737180633,0.6513946446435683,0.6060830908372633,0.8322213676601861,0.19930889488264547,0.45723957464020965,1.0,0.42610428485423524,0.006403059816048365,0.032641278493898335,0.015247626736242198,-0.049573621793634504,-0.0046811735736687985,-0.002515998495256649,-0.7654269030757268
Constraining,-0.0034953019698744535,0.37733547055007677,0.1578826199310638,0.27290656631552607,0.4301494409954234,0.18194771262147585,0.42610428485423524,1.0,0.014268070670611937,0.13023201245757676,-0.030431674341118452,-0.0271000327871664,-0.006495456162371655,-6.157397716221905e-05,-0.37668617923302355
BM_w,-0.002519059166327338,0.006733030294748982,0.007986893617874436,0.014508249068084136,0.01431845299133069,0.0004504841049102306,0.006403059816048365,0.014268070670611937,1.0,-0.2278588195916364,-0.008881298600278285,-0.0417616785850859,-0.0028349543914835064,-0.0010356901939988718,-0.010708808466821039
Size_w,-0.007011546524208904,0.09247538778144196,0.08210928217253989,0.07995520859742977,0.1715766996405204,-0.20162193125554567,0.032641278493898335,0.13023201245757676,-0.2278588195916364,1.0,-0.09009575742791621,0.029264351920780775,-0.019610267202971952,-0.008006447708421734,-0.0888138563104042
dAsset_w,-0.0021627779231523855,-0.020052881285391903,-0.015267696176710826,-0.009880422190921273,-0.008321217571704646,0.08943916032264772,0.015247626736242198,-0.030431674341118452,-0.008881298600278285,-0.09009575742791621,1.0,0.021118639494548598,0.0031274700194197317,-0.00031962206995427705,0.015815853984121216
ROE_w,0.0023187031283711,-0.03020418083013274,-0.039909653596409495,-0.04346695336656279,-0.008124095075584524,-0.02194741452421013,-0.049573621793634504,-0.0271000327871664,-0.0417616785850859,0.029264351920780775,0.021118639494548598,1.0,0.002610358216357769,0.005349160532730203,0.035260320136448586
Momentum_12_1,-7.551730673036473e-05,-0.0026432995693935614,-0.006099731596355147,-0.004127534633139265,-0.003078654760971351,0.0062372666614500145,-0.0046811735736687985,-0.006495456162371655,-0.0028349543914835064,-0.019610267202971952,0.0031274700194197317,0.002610358216357769,1.0,0.4065056994431413,0.002624003298713764
Vol_30d,-6.604588250940267e-05,-0.0038962387727170173,-0.00380597330800868,-0.0038176667262382596,-0.0008365350472075964,0.0027079436610013526,-0.002515998495256649,-6.157397716221905e-05,-0.0010356901939988718,-0.008006447708421734,-0.00031962206995427705,0.005349160532730203,0.4065056994431413,1.0,0.0039018171515041453
CCTI,0.0022612507457976565,-0.9138971224780685,-0.39697611033422786,-0.828407823059785,-0.1470358919876943,-0.2582830660997778,-0.7654269030757268,-0.37668617923302355,-0.010708808466821039,-0.0888138563104042,0.015815853984121216,0.035260320136448586,0.002624003298713764,0.0039018171515041453,1.0
